locality_id,locality
1,"12th Square Building, Banjara Hills"
2,"Acropolis Mall, Kasba "
3,Adajan Gam
4,Adyar
5,Aminabad
6,Anandpuri
7,"Anil Plaza, Christian Basti"
8,Anjuna
9,"Anjuna Beach, Anjuna"
10,Anna Nagar East
11,Arambol
12,Ashok Nagar
13,Athwa
14,Azad Nagar
15,Baga
16,"Balewadi High Street, Balewadi"
17,Ballygunge
18,Baner
19,Banjara Hills
20,Betalbatim
21,"BluPetal Hotel, Koramangala"
22,Borivali East
23,Borivali West
24,C Scheme
25,Calangute
26,"Calangute Beach, Calangute"
27,Camac Street Area
28,Candolim
29,Cavelossim
30,Chandigarh Industrial Area
31,Chandmari
32,"Chokhi Dhani Village Resort, Tonk Road"
33,Christian Basti
34,City Light
35,Civil Lines
36,Deccan Gymkhana
37,"Devraj Niwas, Bani Park"
38,Dispur
39,"Elante Mall, Chandigarh Industrial Area"
40,Elgin
41,"Express Avenue Mall,  Royapettah"
42,Fort
43,Fraser Road Area
44,Gachibowli
45,Golambar
46,"Golden Square, City Light"
47,Golpark
48,Gomti Nagar
49,Gopalapuram
50,Hazratganj
51,"Hill Road, Bandra West"
52,Hitech City
53,Holiday Inn Express & Suites
54,"Holiday Inn Jaipur City Centre, Bais Godam"
55,"Hotel Clarks Amer, Malviya Nagar"
56,"Hotel Maurya, Lodipur"
57,Indiranagar
58,"International Business Center, Piplod"
59,JP Nagar
60,Jubilee Hills
61,Juhu
62,Kalyani Nagar
63,Khajpura
64,Kidderpore
65,Kilpauk
66,Kondapur
67,Koramangala 5th Block
68,Koramangala 6th Block
69,Koramangala 7th Block
70,Koregaon Park
71,Kotturpuram
72,Lal Kothi
73,Lalbagh
74,Law College Road
75,"Linking Road, Bandra West"
76,Lodipur
77,Lower Parel
78,Madhapur
79,"Majiwada, Thane West"
80,Malad West
81,Malviya Nagar
82,"Mani Square Mall, Kankurgachi"
83,Marathahalli
84,"Maurya Lok, Fraser Road Area"
85,Mylapore
86,Nanpura
87,Nerul
88,New BEL Road
89,Nungambakkam
90,Ohri' Hitech City
91,Panaji
92,Park Street Area
93,Patliputra Colony
94,Perungudi
95,"Phoenix Market City, Viman Nagar"
96,Piplod
97,Powai
98,"Quest Mall, Ballygunge"
99,"R Deccan Mall, JM Road"
100,RA Puram
101,Ramapuram
102,"Ramee Guestline Hotel, Juhu"
103,Ravet
104,Renaissance Lucknow Hotel
105,Residency Road
106,"Riverside Mall, Gomti Nagar"
107,"Royal Inn, Hazratganj"
108,Sadar Bazaar
109,Santhome
110,Sarjapur Road
111,Sector 26
112,Sector 28
113,Sector 35
114,"Sector 5, Salt Lake"
115,Sector 7
116,Sector 8
117,Senapati Bapat Road
118,"Silver Spring Arcade, Science City Area"
119,Six Mile
120,Southern Avenue
121,"Spot 18 Mall, Pimple Saudagar"
122,Sri Krishnapuri
123,T. Nagar
124,Tonk Road
125,UB City
126,Ulubari
127,Uzan Bazaar
128,Vagator
129,Vaishali Nagar
130,Velachery
131,"Versova, Andheri West"
132,Vesu
133,Vidhyadhar Nagar
134,Vile Parle East
135,Viman Nagar
136,Wakad
137,Zoo Tiniali
