restaurant_name_id,restaurant_name
1,11th Avenue Cafe Bistro
2,145 Kala Ghoda
3,17 Degrees
4,18 Degrees Resto Lounge
5,38 Degree East
6,4 Seasons
7,6 Ballygunge Place
8,AB's - Absolute Barbecues
9,Agent Jack's Bar
10,Angeethi
11,Antares
12,Apache
13,Asia Kitchen by Mainland China
14,Baba Au Rhum
15,Bansi Vihar
16,Bar Bar
17,BarBQ
18,Barbeque Nation
19,Barbeque Ville
20,Basil With A Twist
21,Big Brewsky
22,Biryani Mahal
23,Black Pepper
24,Blackout
25,Blue Water
26,Bombay Brasserie
27,BrewBakes
28,Britto's Bar & Restaurant
29,Brooklyn Blues
30,Brooklyn Central
31,Burger Factory
32,Burgrill
33,Cafe Al Fresco by Cantina Bodega
34,Cafe Hydro
35,Cafe LazyMojo
36,Caf� Riverrun
37,Calamari
38,Calzone- Dine & Rooftop Lounge
39,Cappuccino Blast
40,Chao Chinese Bistro - Holiday Inn Jaipur City Centre
41,Chemistry Caf�
42,Chili's
43,Chokhi Dhani
44,Chung Fa
45,Churrolto
46,Ciclo Cafe
47,Club Cubana
48,Coal Barbecues
49,Coffee Culture - The Ristorante Lounge
50,Colours by Royal Cafe - Royal Inn
51,Communiti
52,Confucius
53,Con�_u
54,Curlies
55,Dastarkhwan
56,Decked Up By Garden Cafe
57,Dock Forty Five
58,ECHOES Koramangala
59,Eat Street
60,Effingut Brewerkz
61,Exotica
62,Falafel Lovers
63,Farzi Cafe
64,Fat Belly
65,Fat Fish
66,Fisherman's Cove
67,Flame & Grill
68,Flechazo
69,Free Spirit
70,Frozen Factory
71,Fusilli Reasons
72,Gabbar's Bar & Kitchen
73,Genuine Broaster Chicken
74,German Bakery Wunderbar
75,Glen's Bakehouse
76,Global Local
77,Golden Dragon
78,Grandmama's Cafe
79,Grandson of Tunday Kababi
80,Haunted
81,Heart Cup Coffee
82,Homeys Cafe
83,Hoot
84,Hoppipola
85,India Restaurant
86,Indian Summer Cafe
87,Infantaria
88,Joey's Pizza
89,Jonathan's Kitchen - Holiday Inn Express & Suites
90,KFC
91,Kaidi Kitchen
92,Kansar Gujarati Thali
93,Kapil Dev's Eleven
94,Kargo
95,Karim's
96,Koramangala Social
97,Kylin Experience
98,L 14 - Renaissance Lucknow Hotel
99,L'amandier
100,LPK Waterfront
101,La Plage
102,Le Plaisir
103,Leonardo Italian Mediterranean Dining
104,Level 5 - Terrace Restro & Cafe
105,Mainland China
106,Mamu's Infusion
107,Maplai
108,Martin's Corner
109,McDonald's
110,Meraaki Kitchen
111,Midnight Chef
112,Mineority By Saby
113,Mirchi And Mime
114,Mocambo
115,Mocha Bar
116,Mocha Bar Bar
117,Monarch Restaurant - Holiday Inn Jaipur City Centre
118,Mumbai Local
119,Mumbai Vibe
120,Mutual's
121,Mysore Cafe
122,Nawwarah
123,Nibs Cafe
124,Nik Baker's
125,Nirvana
126,O2- The Plant Cafe
127,Ocean Grill
128,Olive Bistro
129,On The House
130,Onesta
131,OvenFresh
132,Pal Dhaba
133,Palmshore
134,Pantry d'or
135,Paradise
136,Percussion
137,Peter Cat
138,Pind
139,Pind Balluchi
140,Pine & Dine
141,Pirates of Grill
142,Pizza Hut
143,Prost Brew Pub
144,Pukhtaan-The Royal Taste of India
145,R' ADDA
146,Raj Rasoi
147,Red Chilli
148,Replay
149,Ritz Classic
150,Roti Restaurant
151,Royal Sky
152,Sahibaos Barbeque by Ohriaos
153,Santa's Fantasea
154,Sauticed Stories
155,Shanghai Salsa
156,Sigree Global Grill
157,Sky Beach
158,Souza Lobo
159,Spice Caves
160,Spice Court - Hotel Maurya
161,Spice Kraft
162,SpiceKlub
163,Sri Basant Vihar
164,St. Anthony's
165,Stacks And Racks
166,Strawberry Fields
167,Sultans of Spice
168,Super Donuts
169,Swaaddesh
170,TGI Friday's
171,Taco Bell
172,Tales & Spirits
173,Tapri Central
174,Taruveda Bistro
175,Tea Villa Cafe
176,Teddy Boy
177,Terra Mayaa Restaurant and Lounge
178,Thalaivaa
179,That Madras Place
180,The American Joint
181,The Basement Caf�
182,The Black Pearl
183,The Black Sheep Bistro
184,The Centre Court
185,The Cherry Tree Cafe
186,The Chocolate Heaven
187,The Corner Cafe
188,The Creamery
189,The English Department Bar & Diner
190,The Fatty Bao - Asian Gastro Bar
191,The Fisherman's Wharf
192,The Food Lab
193,The Forresta Kitchen & Bar
194,The Fusion Kitchen
195,The Grand Trunk Road
196,The Haus
197,The Hog Spot
198,The Irish House
199,The Little Next Door
200,The Night Factory
201,The Pebbles Bistro
202,The Rolling Pin
203,The Sassy Spoon
204,The Sizzling Salsa
205,The Urban Foundry
206,The Urban Terrace
207,The Woking Mama
208,The Yellow Chilli
209,The Zouq : Resto-Cafe
210,Three Dots & A Dash
211,Three Guys
212,Toit
213,Truffles
214,Uncle Jack's
215,Underdoggs Sports Bar & Grill
216,United Kitchens of India
217,Vintage Machine
218,Virgin Courtyard
219,WTF
220,What's Up
221,Wok On Fire
222,World Platter
223,Writer's Cafe
224,Yo! China
225,Ziya
226,Zolocrust - Hotel Clarks Amer
